Mes,Temporada,id_edifici,planta_edifici,id_preu,num_botellas
Juliol,2016,LLE,1,6,12
Juliol,2016,LLE,2,6,36
Juliol,2016,LLE,3,6,14
Agost,2016,LLE,4,6,0
Juliol,2016,LLE,5,6,1
Juliol,2016,XAL,1,6,42
Juliol,2016,XAL,2,6,11
Juliol,2016,XAL,3,6,6
Juliol,2016,XAL,4,6,13
Agost,2016,LLE,1,6,16
Agost,2016,LLE,2,6,10
Agost,2016,LLE,3,6,7
Agost,2016,GRE,1,6,9
Agost,2016,GRE,2,6,7
Agost,2016,XAL,1,6,25
Agost,2016,XAL,2,6,11
Agost,2016,XAL,3,6,18
Agost,2016,XAL,4,6,23
Septembre,2016,GRE,1,6,3
Septembre,2016,GRE,2,6,5
Septembre,2016,LLE,1,6,11
Septembre,2016,LLE,2,6,9
Septembre,2016,LLE,3,6,15
Septembre,2016,LLE,4,6,3
Septembre,2016,LLE,5,6,6
Septembre,2016,XAL,1,6,13
Septembre,2016,XAL,2,6,3
Septembre,2016,XAL,3,6,12
Septembre,2016,XAL,4,6,27
Octubre,2016,GRE,1,6,8
Octubre,2016,GRE,2,6,3
Octubre,2016,LLE,1,6,6
Octubre,2016,LLE,2,6,20
Octubre,2016,LLE,3,6,11
Octubre,2016,LLE,4,6,8
Octubre,2016,LLE,5,6,1
Octubre,2016,XAL,1,6,3
Octubre,2016,XAL,2,6,11
Octubre,2016,XAL,3,6,13
Octubre,2016,XAL,4,6,9
Novembre,2016,GRE,1,6,8
Novembre,2016,GRE,2,6,1
Novembre,2016,LLE,1,6,3
Novembre,2016,LLE,2,6,1
Novembre,2016,LLE,3,6,3
Novembre,2016,LLE,4,6,4
Novembre,2016,LLE,5,6,2
Novembre,2016,XAL,1,6,3
Novembre,2016,XAL,2,6,22
Novembre,2016,XAL,3,6,6
Novembre,2016,XAL,4,6,3
Decembre,2016,GRE,1,6,2
Decembre,2016,GRE,2,6,1
Decembre,2016,LLE,1,6,10
Decembre,2016,GRE,1,6,3
Decembre,2016,LLE,2,6,10
Decembre,2016,LLE,3,6,5
Decembre,2016,LLE,4,6,11
Decembre,2016,LLE,5,6,3
Decembre,2016,XAL,1,6,5
Decembre,2016,XAL,2,6,35
Gener,2016,LLE,2,6,10
Gener,2016,LLE,3,6,25
Gener,2016,LLE,4,6,15
Gener,2016,XAL,1,6,5
Gener,2016,XAL,2,6,10
Gener,2016,XAL,3,6,11
Gener,2016,XAL,4,6,9
Decembre,2016,XAL,3,6,11
Decembre,2016,XAL,4,6,3
Gener,2016,GRE,2,6,1
Gener,2016,LLE,5,6,3
Febrer,2017,GRE,1,6,17
Febrer,2017,GRE,2,6,25
Febrer,2017,LLE,1,6,14
Febrer,2017,LLE,2,6,20
Febrer,2017,LLE,3,6,1
Febrer,2017,LLE,4,6,17
Febrer,2017,LLE,5,6,5
Febrer,2017,XAL,1,6,3
Febrer,2017,XAL,2,6,17
Febrer,2017,XAL,3,6,5
Febrer,2017,XAL,4,6,9
Març,2017,GRE,1,6,32
Març,2017,GRE,2,6,29
Març,2017,LLE,1,6,10
Març,2017,LLE,2,6,14
Març,2017,LLE,3,6,4
Març,2017,LLE,4,6,29
Març,2017,LLE,5,6,5
Març,2017,XAL,1,6,9
