Error en la consulta del 2013.
[INFO] Connect to Database established 24/03/2020 08:49:33pm
[INFO] Connect to Database established 24/03/2020 08:49:33pm
[INFO] Connect to Database established 24/03/2020 08:49:39pm
[INFO] Connect to Database established 24/03/2020 08:49:39pm
[INFO] Connect to Database established 24/03/2020 08:49:51pm
[INFO] Connect to Database established 24/03/2020 08:49:51pm
[INFO] Connect to Database established 24/03/2020 08:50:05pm
[INFO] Connect to Database established 24/03/2020 08:50:05pm
[INFO] Connect to Database established 24/03/2020 08:50:10pm
[INFO] Connect to Database established 24/03/2020 08:50:10pm
[INFO] Connect to Database established 24/03/2020 08:50:11pm
[INFO] Connect to Database established 24/03/2020 08:50:11pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:12pm
[INFO] Connect to Database established 24/03/2020 08:50:17pm
[INFO] Connect to Database established 24/03/2020 08:50:17pm
[INFO] Connect to Database established 24/03/2020 08:50:21pm
[INFO] Connect to Database established 24/03/2020 08:50:21pm
[INFO] Connect to Database established 24/03/2020 08:50:29pm
[INFO] Connect to Database established 24/03/2020 08:50:29pm
[INFO] Connect to Database established 24/03/2020 08:52:23pm
[INFO] Connect to Database established 24/03/2020 08:52:23pm
[INFO] Connect to Database established 24/03/2020 08:52:50pm
[INFO] Connect to Database established 24/03/2020 08:52:50pm
[INFO] Connect to Database established 24/03/2020 08:52:56pm
[INFO] Connect to Database established 24/03/2020 08:52:56pm
[INFO] Connect to Database established 24/03/2020 08:53:05pm
[INFO] Connect to Database established 24/03/2020 08:53:05pm
[INFO] Connect to Database established 24/03/2020 08:57:39pm
[INFO] Connect to Database established 24/03/2020 08:57:39pm
[INFO] Connect to Database established 24/03/2020 08:57:54pm
[INFO] Connect to Database established 24/03/2020 08:57:54pm
[INFO] Connect to Database established 24/03/2020 08:58:27pm
[INFO] Connect to Database established 24/03/2020 08:58:27pm
[INFO] Connect to Database established 25/03/2020 01:19:02pm
[INFO] Connect to Database established 25/03/2020 01:19:20pm
[INFO] Connect to Database established 25/03/2020 01:19:20pm
[INFO] Connect to Database established 25/03/2020 01:19:24pm
[INFO] Connect to Database established 25/03/2020 01:19:24pm
[INFO] Connect to Database established 25/03/2020 01:19:41pm
[INFO] Connect to Database established 25/03/2020 01:19:41pm
[INFO] Connect to Database established 25/03/2020 01:19:45pm
[INFO] Connect to Database established 25/03/2020 01:19:45pm
[INFO] Connect to Database established 25/03/2020 01:19:49pm
[INFO] Connect to Database established 25/03/2020 01:19:49pm
[INFO] Connect to Database established 25/03/2020 01:19:52pm
[INFO] Connect to Database established 25/03/2020 01:19:52pm
[INFO] Connect to Database established 25/03/2020 01:19:57pm
[INFO] Connect to Database established 25/03/2020 01:19:57pm
[INFO] Connect to Database established 25/03/2020 01:20:02pm
[INFO] Connect to Database established 25/03/2020 01:20:02pm
[INFO] Connect to Database established 25/03/2020 01:20:06pm
[INFO] Connect to Database established 25/03/2020 01:20:06pm
[INFO] Connect to Database established 25/03/2020 01:20:09pm
[INFO] Connect to Database established 25/03/2020 01:20:09pm
[INFO] Connect to Database established 25/03/2020 01:21:18pm
[INFO] Connect to Database established 25/03/2020 01:21:18pm
[INFO] Connect to Database established 25/03/2020 01:31:47pm
[INFO] Connect to Database established 25/03/2020 01:31:47pm
[INFO] Connect to Database established 25/03/2020 01:32:48pm
[INFO] Connect to Database established 25/03/2020 01:32:48pm
[INFO] Connect to Database established 25/03/2020 01:37:17pm
[INFO] Connect to Database established 25/03/2020 01:37:17pm
[INFO] Connect to Database established 25/03/2020 01:39:15pm
[INFO] Connect to Database established 25/03/2020 01:39:15pm
[INFO] Connect to Database established 25/03/2020 01:39:28pm
[INFO] Connect to Database established 25/03/2020 01:39:28pm
[INFO] Connect to Database established 25/03/2020 01:39:45pm
[INFO] Connect to Database established 25/03/2020 01:39:45pm
[INFO] Connect to Database established 25/03/2020 01:40:11pm
[INFO] Connect to Database established 25/03/2020 01:40:11pm
[INFO] Connect to Database established 25/03/2020 01:40:19pm
[INFO] Connect to Database established 25/03/2020 01:40:19pm
[INFO] Connect to Database established 25/03/2020 01:40:22pm
[INFO] Connect to Database established 25/03/2020 01:40:22pm
[INFO] Connect to Database established 25/03/2020 01:40:46pm
[INFO] Connect to Database established 25/03/2020 01:40:46pm
[INFO] Connect to Database established 25/03/2020 01:40:50pm
[INFO] Connect to Database established 25/03/2020 01:40:50pm
[INFO] Connect to Database established 25/03/2020 01:40:53pm
[INFO] Connect to Database established 25/03/2020 01:40:53pm
[INFO] Connect to Database established 25/03/2020 01:40:58pm
[INFO] Connect to Database established 25/03/2020 01:40:58pm
[INFO] Connect to Database established 25/03/2020 01:41:00pm
[INFO] Connect to Database established 25/03/2020 01:41:00pm
[INFO] Connect to Database established 25/03/2020 01:41:03pm
[INFO] Connect to Database established 25/03/2020 01:41:12pm
[INFO] Connect to Database established 25/03/2020 01:41:12pm
[INFO] Connect to Database established 25/03/2020 01:41:17pm
[INFO] Connect to Database established 25/03/2020 04:49:39pm
[INFO] Connect to Database established 25/03/2020 04:52:19pm
